#separator:Tab
#html:true
#columns:Frente	Verso	Tags
#tags column:3
Produtos hortícolas, frutas e ovos × produtos agropecuários in natura e insumos agropecuários: qual a redução?	<b>Hortícolas, frutas e ovos → 100%</b>.<br><b>Produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais in natura → 60%</b>.<br><b>Insumos agropecuários e aquícolas → 60%</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
Serviços de educação × ensino superior do Prouni: qual a redução?	<b>Serviços de educação → 60%</b>.<br><b>Ensino superior nos termos do Prouni → 100%, somente para a CBS</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
Serviços de saúde × dispositivos médicos e medicamentos: qual a redução?	<b>Serviços de saúde → 60%</b>.<br><b>Dispositivos médicos e medicamentos → 100% ou 60%</b>.<br><i>Na mesma faixa (100% ou 60%): dispositivos de acessibilidade para pessoas com deficiência.</i>	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
Produtos de cuidados básicos à saúde menstrual × produtos de higiene pessoal e limpeza de baixa renda: qual a redução?	<b>Saúde menstrual → 100% ou 60%</b>.<br><b>Higiene pessoal e limpeza majoritariamente consumidos por famílias de baixa renda → 60%</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
Automóveis de passageiros: em que casos têm redução de 100%?	Quando adquiridos por <b>pessoas com deficiência e pessoas com transtorno do espectro autista</b>, e por <b>motoristas profissionais (táxis)</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::lista alerta::volatil
Serviços prestados por Instituição Científica, Tecnológica e de Inovação (ICT) sem fins lucrativos: qual a redução?	<b>100%</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::numero alerta::volatil
Transporte público coletivo de passageiros rodoviário e metroviário (urbano, semiurbano e metropolitano): qual a redução?	<b>Isenção ou 60%</b>. É a única faixa com essa combinação.<br><i>Não confundir com "até 100% ou isenção total", que é a da reabilitação urbana.</i>	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::numero alerta::volatil
Reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística: qual a redução?	<b>Até 100% ou isenção total</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::numero alerta::volatil
Produções artísticas e culturais × serviços de profissão intelectual de natureza artística: qual a redução?	<b>Produções artísticas, culturais, de eventos, jornalísticas e audiovisuais nacionais, atividades desportivas e comunicação institucional → 60%</b>.<br><b>Profissão intelectual de natureza científica, literária ou artística, fiscalizada por conselho profissional → 30%</b>. É a única faixa de 30%.<br><i>Gatilho do 30%: "conselho profissional".</i>	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::par alerta::volatil
Bens e serviços de soberania e segurança nacional, segurança da informação e segurança cibernética: qual a redução?	<b>60%</b>.	direito-tributario::reforma-tributaria::aliquotas-reduzidas origem::T4 tipo::numero alerta::volatil
Remissão × anistia × isenção: o que cada uma perdoa, e o que faz com o crédito?	<b>Teste: o que foi perdoado?</b><br><b>A dívida já constituída (tributo e multa) → REMISSÃO</b>: extingue o crédito (CTN, art. 156, IV; art. 172).<br><b>Só a infração e a multa → ANISTIA</b>: exclui o crédito (art. 175, II; art. 180).<br><b>Nada: o crédito nem chega a nascer → ISENÇÃO</b>: exclui o crédito (art. 175, I).<br><i>Remissão e anistia exigem lei específica (CF, art. 150, §6º). Não confundir com remição, com "ç", que é resgate.</i>	direito-tributario::credito-tributario::extincao-exclusao origem::T2 origem::E4 tipo::etiqueta
